algorithm,timestamp,python_version,numpy_version,scikit_learn_version,seed,grid_size,k_predict,dataset,s_norm,real_error,baseline_mean,baseline_std,baseline_median,baseline_ci_lower,baseline_ci_upper,ratio,gated,runtime_ms
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,120,20,15,4_pure_gaussian,0.1052717434557998,,,,,,,,1,0.41140000030281954
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,120,20,15,5_pink_noise,0.9980399351343663,0.4043258619915928,0.3718399153136545,0.023109369719795197,0.369549812317468,0.3304554246632653,0.4251410670542022,1.0873654100596912,0,202.79410000148346
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,120,20,15,6_white_noise,2.1176687766756475,1.0716913994685215,0.9655795468529702,0.057279399043384846,0.9599895196267676,0.8701223032129095,1.072446229907242,1.1098944700738458,0,201.1449999990873
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,120,20,20,1_ideal_coherent,0.8715446568789308,0.4377980558012792,0.5217079024153127,0.031238131795456033,0.5280481101575458,0.4453600575695827,0.5771214956001838,0.8391631673095955,0,199.7869000006176
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,120,20,20,2_phase_noise_0.8,2.4320411098854033,1.3143730851443705,1.2240505428778854,0.06761425074784139,1.2251242681988894,1.095960784849823,1.3443320178808285,1.0737898796679803,0,254.44340000103693
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,120,20,20,3_thermal_source,2.43350788198178,1.3506382998764535,1.201580875550743,0.05953700920221251,1.1979452814330178,1.1059467974848496,1.3298874392512396,1.124051095817741,0,259.5898999970814
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,120,20,20,4_pure_gaussian,0.1052717434557998,,,,,,,,1,0.1964999974006787
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,120,20,20,5_pink_noise,0.9980399351343663,0.40079715568187274,0.3757066456254609,0.022960281302636137,0.3745943824511213,0.32974929021157845,0.42336833800619705,1.0667821832500253,0,277.05889999924693
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,120,20,20,6_white_noise,2.1176687766756475,1.0540096285869525,0.9564656423803791,0.05536440092506359,0.9501717214151044,0.8607141873080796,1.0965416052494061,1.101983784763887,0,241.36400000134017
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,121,20,10,1_ideal_coherent,0.8715446568789308,0.3264961423712438,0.5166703130404706,0.03193525309043575,0.5180398471898879,0.45057369720953466,0.5799848065789568,0.6319235576936844,0,204.74380000086967
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,121,20,10,2_phase_noise_0.8,2.251927876694311,1.3726997349740906,1.2194365822079425,0.06417198314375745,1.21597197468432,1.1089743538874592,1.3468766007165531,1.1256835779755319,0,204.06910000019707
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,121,20,10,3_thermal_source,2.51618645591361,1.312547556500809,1.1994393017754903,0.0717305462852974,1.1944487183200532,1.0618079953071278,1.3350767357336741,1.0943009409128817,0,203.4395000009681
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,121,20,10,4_pure_gaussian,0.1052717434557998,,,,,,,,1,0.30610000248998404
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,121,20,10,5_pink_noise,0.7203920825983027,0.25432649713924366,0.23193181945035746,0.013640203957733516,0.23298514634799244,0.20763632406377472,0.25579756924867353,1.0965571595219583,0,202.55900000120164
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,121,20,10,6_white_noise,2.331509517880563,1.2808146488492635,1.0872548530309811,0.06398393249487043,1.086957871717491,0.9375100385419806,1.2002756772446763,1.1780261502431455,0,202.85190000140574
